#Num|nom|age|taille|nationalite|position|pied|club|ligue|fin_contrat|valeur_actuelle|valeur_max|montant_transfert|CDM|LDC|nb_selections|nb_buts
1|Kylian Mbappé|24|1.78 |France|Avant-centre|droit|Paris Saint-Germain|Ligue 1|2025|180|200|180.00 |1|0|66|36
2|Erling Haaland|22|1.95 |Norvège|Avant-centre|gauche|Manchester City|Premier League|2027|170|170|88.10 |0|0|23|21
3|Vinicius Junior|22|1.76 |Brésil|Ailier gauche|droit|Real Madrid|LaLiga|2024|120|120|45.00 |0|1|20|2
4|Jude Bellingham|19|1.86 |Angleterre|Milieu central|droit|Borussia Dortmund|Bundesliga|2025|110|110|25.00 |0|0|22|1
5|Phil Foden|22|1.71 |Angleterre|Milieu central|gauche|Manchester City|Premier League|2027|110|110|0.00|0|0|22|3
6|Pedri|20|1.74 |Espagne|Milieu central|droit|FC Barcelone|LaLiga|2026|100|100|17.50 |0|0|18|0
7|Jamal Musiala|19|1.84 |Allemagne|Milieu offensif|droit|FC Bayern München|Bundesliga|2026|100|100|0.200 |0|1|20|1
8|Bukayo Saka|21|1.78 |Angleterre|Milieu droit|gauche|FC Arsenal|Premier League|2024|100|100|0.00|0|0|24|7
9|Federico Valverde|24|1.82 |Uruguay|Milieu central|droit|Real Madrid|LaLiga|2027|100|100|5.00 |0|1|47|4
10|Gavi|18|1.73 |Espagne|Milieu central|droit|FC Barcelone|LaLiga|2026|90|90|0.00|0|0|17|3
11|Aurélien Tchouameni|22|1.87 |France|Milieu défensif|droit|Real Madrid|LaLiga|2028|90|90|98.00 |0|0|21|2
12|Harry Kane|29|1.88 |Angleterre|Avant-centre|droit|Tottenham Hotspur|Premier League|2024|90|150|0.00|0|0|80|53
13|Rafael Leão|23|1.88 |Portugal|Ailier gauche|droit|AC Milan|Serie A|2024|85|85|29.50 |0|0|16|2
14|Rodrygo|22|1.74 |Brésil|Ailier droit|droit|Real Madrid|LaLiga|2025|80|80|45.00 |0|1|12|1
15|Declan Rice|24|1.88 |Angleterre|Milieu défensif|droit|West Ham United|Premier League|2024|80|80|0.00|0|0|39|2
16|Rodri|26|1.91 |Espagne|Milieu défensif|droit|Manchester City|Premier League|2027|80|80|84.20 |0|0|39|1
17|Dusan Vlahovic|22|1.90 |Serbie|Avant-centre|gauche|Juventus Turin|Serie A|2026|80|85|84.80 |0|0|19|10
18|Christopher Nkunku|25|1.78 |France|Deuxième attaquant|droit|RasenBallsport Leipzig|Bundesliga|2026|80|80|13.00 |0|0|8|0
19|Bernardo Silva|28|1.73 |Portugal|Milieu offensif|gauche|Manchester City|Premier League|2025|80|100|65.75 |0|0|78|8
20|Joshua Kimmich|27|1.77 |Allemagne|Milieu défensif|droit|FC Bayern München|Bundesliga|2025|80|90|10.50 |0|1|74|5
