#Id|nom|age|taille|pied|nationalite|position|club|ligue|fin_contrat|valeur_actuelle|valeur_max|montant_transfert|CDM|LDC|nb_selections|nb_buts
340.html|nicolas-gonzalez|24|1.80|gauche|Argentine|Ailier gauche|ACF Fiorentina|serie-a| 2026|23|25|35.76 |0|0|21|3
205.html|kurt-zouma|28|1.90|droit|France|Défenseur central|West Ham United|premier-league| 2025|32|35|65.30 |0|1|11|1
74.html|alessandro-bastoni|23|1.90|gauche|Italie|Défenseur central|Inter Milan|serie-a| 2024|55|60|31.10 |0|0|17|1
439.html|ramy-bensebaini|27|1.87|gauche|Algérie|Arrière gauche|Borussia Mönchengladbach|bundesliga| 2023|20|22|10.00 |0|0|51|6
317.html|renato-sanches|25|1.76|droit|Portugal|Milieu central|Paris Saint-Germain|ligue-1| 2027|25|30|78.50 |0|0|32|3
252.html|jacob-ramsey|21|1.80|droit|Angleterre|Milieu central|Aston Villa|premier-league| 2027|28|28|0.00|0|0|7|2
481.html|jeremy-doku|20|1.73|droit|Belgique|Ailier droit|Stade Rennais FC|ligue-1| 2025|18|26|26.00 |0|0|12|2
23.html|luis-diaz|26|1.80|droit|Colombie|Ailier gauche|FC Liverpool|premier-league| 2027|75|75|54.22 |0|0|37|8
194.html|yves-bissouma|26|1.82|droit|Mali|Milieu central|Tottenham Hotspur|premier-league| 2026|32|35|46.00 |0|0|27|3
301.html|axel-disasi|24|1.90|droit|France|Défenseur central|AS Monaco|ligue-1| 2025|25|25|13.00 |0|0|3|0
244.html|eric-dier|29|1.88|droit|Angleterre|Défenseur central|Tottenham Hotspur|premier-league| 2024|30|40|5.00 |0|0|49|3
35.html|victor-osimhen|24|1.86|droit|Nigeria|Avant-centre|SSC Napoli|serie-a| 2025|70|70|104.40 |0|0|23|15
497.html|eddie-nketiah|23|1.75|droit|Angleterre|Avant-centre|FC Arsenal|premier-league| 2027|18|20|0.00|0|0|17|16
182.html|sebastien-haller|28|1.91|droit|Côte d'Ivoire|Avant-centre|Borussia Dortmund|bundesliga| 2026|35|45|111.25 |0|0|15|4
478.html|mohammed-salisu|23|1.88|gauche|Ghana|Défenseur central|FC Southampton|premier-league| 2024|18|18|12.00 |0|0|6|2
356.html|matty-cash|25|1.85|droit|Pologne|Arrière droit|Aston Villa|premier-league| 2027|22|25|15.75 |0|0|12|1
213.html|ryan-gravenberch|20|1.90|droit|Pays-Bas|Milieu central|FC Bayern München|bundesliga| 2027|30|35|18.50 |0|0|11|1
62.html|federico-chiesa|25|1.75|droit|Italie|Ailier gauche|Juventus Turin|serie-a| 2025|60|70|55.10 |0|0|40|4
9.html|gavi|18|1.73|droit|Espagne|Milieu central|FC Barcelone|laliga| 2026|90|90|0.00|0|0|17|3
268.html|granit-xhaka|30|1.86|gauche|Suisse|Milieu central|FC Arsenal|premier-league| 2024|28|50|53.50 |0|0|111|12
287.html|giorgi-mamardashvili|22|1.97|gauche|Géorgie|Gardien de but|FC Valencia|laliga| 2027|25|25|1.05 |0|0|6|0
454.html|alejandro-grimaldo|27|1.71|gauche|Espagne|Arrière gauche|SL Benfica|liga-portugal| 2023|20|35|2.10 |0|0|2|0
141.html|piotr-zielinski|28|1.80|ambidextre|Pologne|Milieu central|SSC Napoli|serie-a| 2024|40|50|16.10 |0|0|89|10
19.html|joshua-kimmich|28|1.77|droit|Allemagne|Milieu défensif|FC Bayern München|bundesliga| 2025|80|90|10.50 |0|1|74|5
395.html|jean-clair-todibo|23|1.90|droit|France|Défenseur central|OGC Nice|ligue-1| 2027|20|20|13.00 |0|0|1|0
403.html|luka-sucic|20|1.85|gauche|Croatie|Milieu offensif|Red Bull Salzbourg|bundesliga| 2025|20|20|0.00|0|0|4|0
116.html|ederson|29|1.88|gauche|Brésil|Gardien de but|Manchester City|premier-league| 2026|45|70|40.50 |0|0|19|0
383.html|djibril-sow|26|1.84|droit|Suisse|Milieu central|Eintracht Frankfurt|bundesliga| 2024|22|22|13.50 |0|0|36|0
229.html|kieran-tierney|25|1.80|gauche|Écosse|Arrière gauche|FC Arsenal|premier-league| 2026|30|32|27.00 |0|0|35|1
415.html|ademola-lookman|25|1.74|droit|Nigeria|Deuxième attaquant|Atalanta BC|serie-a| 2026|20|20|38.50 |0|0|4|1
100.html|alisson|30|1.93|droit|Brésil|Gardien de but|FC Liverpool|premier-league| 2027|50|90|70.50 |0|1|61|0
58.html|jadon-sancho|22|1.80|droit|Angleterre|Ailier gauche|Manchester United|premier-league| 2026|60|130|105.76 |0|0|23|3
291.html|matteo-guendouzi|23|1.85|droit|France|Milieu central|Olympique de Marseille|ligue-1| 2025|25|50|20.00 |0|0|7|1
442.html|angelino|26|1.71|gauche|Espagne|Arrière gauche|TSG 1899 Hoffenheim|bundesliga| 2023|20|35|42.00 |0|0|2|0
157.html|randal-kolo-muani|24|1.87|droit|France|Avant-centre|Eintracht Frankfurt|bundesliga| 2027|37|37|0.00|0|0|5|1
120.html|jarrod-bowen|26|1.82|gauche|Angleterre|Ailier droit|West Ham United|premier-league| 2025|42|42|21.30 |0|0|4|0
78.html|andrew-robertson|28|1.78|gauche|Écosse|Arrière gauche|FC Liverpool|premier-league| 2026|55|80|12.60 |0|1|59|3
97.html|fikayo-tomori|25|1.85|droit|Angleterre|Défenseur central|AC Milan|serie-a| 2027|50|50|32.20 |0|0|3|0
435.html|jonathan-bamba|26|1.75|droit|France|Ailier gauche|LOSC Lille|ligue-1| 2023|20|25|0.00|0|0|19|5
209.html|goncalo-ramos|21|1.85|droit|Portugal|Avant-centre|SL Benfica|liga-portugal| 2026|30|30|0.00|0|0|5|4
177.html|robin-le-normand|26|1.87|droit|France|Défenseur central|Real Sociedad|laliga| 2026|35|35|0.00|0|0||
198.html|diogo-dalot|23|1.83|droit|Portugal|Arrière droit|Manchester United|premier-league| 2024|32|32|22.50 |0|0|10|2
462.html|geoffrey-kondogbia|30|1.88|gauche|République Centrafricaine|Milieu défensif|Atlético de Madrid|laliga| 2024|20|30|97.00 |0|0|8|1
161.html|min-jae-kim|26|1.90|droit|Corée du Sud|Défenseur central|SSC Napoli|serie-a| 2025|35|35|26.30 |0|0|47|3
39.html|kai-havertz|23|1.93|gauche|Allemagne|Milieu offensif|Chelsea FC|premier-league| 2025|70|90|80.00 |0|1|33|12
474.html|aaron-hickey|20|1.85|ambidextre|Écosse|Arrière gauche|FC Brentford|premier-league| 2026|18|18|18.20 |0|0|7|0
248.html|marc-andre-ter-stegen|30|1.87|droit|Allemagne|Gardien de but|FC Barcelone|laliga| 2025|30|90|12.00 |0|1|30|0
136.html|jose-maria-gimenez|28|1.85|droit|Uruguay|Défenseur central|Atlético de Madrid|laliga| 2025|40|70|0.995 |0|0|81|8
423.html|nordi-mukiele|25|1.87|droit|France|Arrière droit|Paris Saint-Germain|ligue-1| 2027|20|25|29.50 |0|0|1|0
81.html|david-alaba|30|1.80|gauche|Autriche|Défenseur central|Real Madrid|laliga| 2026|55|65|0.150 |0|3|98|15
5.html|pedri|20|1.74|droit|Espagne|Milieu central|FC Barcelone|laliga| 2026|100|100|17.50 |0|0|18|0
458.html|raphael-guerreiro|29|1.70|gauche|Portugal|Arrière gauche|Borussia Dortmund|bundesliga| 2023|20|40|14.50 |0|0|61|4
15.html|rodri|26|1.91|droit|Espagne|Milieu défensif|Manchester City|premier-league| 2027|80|80|84.20 |0|0|39|1
264.html|luke-shaw|27|1.78|gauche|Angleterre|Arrière gauche|Manchester United|premier-league| 2024|28|42|37.50 |0|0|28|3
321.html|tyrone-mings|29|1.96|gauche|Angleterre|Défenseur central|Aston Villa|premier-league| 2026|25|32|33.60 |0|0|17|2
